Type, Code, Count
Op, SPECIAL (0x00), 567210182
Op, REGIMM (0x01), 275744
Op, J (0x02), 136200
Op, JAL (0x03), 2620040
Op, BEQ (0x04), 19529261
Op, BNE (0x05), 101464465
Op, BLEZ (0x06), 679943
Op, BGTZ (0x07), 425911
Op, ADDIU (0x09), 170334316
Op, SLTI (0x0a), 338732
Op, SLTIU (0x0b), 746457
Op, ANDI (0x0c), 2754866
Op, ORI (0x0d), 489757
Op, XORI (0x0e), 62174
Op, LUI (0x0f), 1063627
Op, LB (0x20), 1980844
Op, LH (0x21), 6605117
Op, LW (0x23), 84588320
Op, LBU (0x24), 81604447
Op, LHU (0x25), 459919
Op, SB (0x28), 1338256
Op, SH (0x29), 139557
Op, SW (0x2b), 45286730
Special, SLL (0x00), 122430551
Special, SRL (0x02), 775453
Special, SRA (0x03), 455963
Special, SLLV (0x04), 1469193
Special, SRLV (0x06), 1415301
Special, SRAV (0x07), 7116
Special, JR (0x08), 2985056
Special, JALR (0x09), 78934
Special, MFHI (0x10), 26077684
Special, MFLO (0x12), 70807127
Special, MULT (0x18), 44780298
Special, MULTU (0x19), 18910251
Special, DIV (0x1a), 7056481
Special, DIVU (0x1b), 174474
Special, ADDU (0x21), 175244726
Special, SUBU (0x23), 25335062
Special, AND (0x24), 1055561
Special, OR (0x25), 6204320
Special, XOR (0x26), 697535
Special, NOR (0x27), 51759
Special, SLT (0x2a), 6626733
Special, SLTU (0x2b), 54570604
Regimm, BLTZ (0x00), 174211
Regimm, BGEZ (0x01), 101531
Regimm, BEQZAL (0x11), 2
