Type, Code, Count
Op, SPECIAL (0x00), 4301361
Op, REGIMM (0x01), 50590
Op, J (0x02), 2436
Op, JAL (0x03), 6942
Op, BEQ (0x04), 168958
Op, BNE (0x05), 765824
Op, BLEZ (0x06), 97796
Op, BGTZ (0x07), 9905
Op, ADDIU (0x09), 1592715
Op, SLTI (0x0a), 43508
Op, SLTIU (0x0b), 25521
Op, ANDI (0x0c), 27934
Op, ORI (0x0d), 537
Op, XORI (0x0e), 12820
Op, LUI (0x0f), 2746
Op, LB (0x20), 91553
Op, LH (0x21), 40009
Op, LW (0x23), 1745034
Op, LBU (0x24), 290695
Op, LHU (0x25), 109549
Op, SB (0x28), 287863
Op, SH (0x29), 38749
Op, SW (0x2b), 983301
Special, SLL (0x00), 1978080
Special, SRL (0x02), 585
Special, SRA (0x03), 268645
Special, SLLV (0x04), 46736
Special, SRLV (0x06), 47
Special, SRAV (0x07), 6486
Special, JR (0x08), 9216
Special, JALR (0x09), 2254
Special, MFHI (0x10), 59
Special, MFLO (0x12), 22141
Special, MULT (0x18), 10476
Special, MULTU (0x19), 42
Special, DIV (0x1a), 11604
Special, DIVU (0x1b), 20
Special, ADDU (0x21), 1277719
Special, SUBU (0x23), 354046
Special, AND (0x24), 24138
Special, OR (0x25), 26845
Special, XOR (0x26), 118
Special, NOR (0x27), 325
Special, SLT (0x2a), 51561
Special, SLTU (0x2b), 210218
Regimm, BLTZ (0x00), 50161
Regimm, BGEZ (0x01), 427
Regimm, BEQZAL (0x11), 2
