Type, Code, Count
Op, SPECIAL (0x00), 53189492
Op, REGIMM (0x01), 15822
Op, J (0x02), 68905
Op, JAL (0x03), 378267
Op, BEQ (0x04), 883665
Op, BNE (0x05), 4682332
Op, BLEZ (0x06), 27247
Op, BGTZ (0x07), 155185
Op, ADDIU (0x09), 15537207
Op, SLTI (0x0a), 48243
Op, SLTIU (0x0b), 17943
Op, ANDI (0x0c), 89800
Op, ORI (0x0d), 21128
Op, XORI (0x0e), 25691
Op, LUI (0x0f), 25122
Op, LB (0x20), 117674
Op, LH (0x21), 87
Op, LW (0x23), 13769631
Op, LBU (0x24), 62768
Op, LHU (0x25), 24
Op, SB (0x28), 178920
Op, SH (0x29), 25
Op, SW (0x2b), 7858075
Special, SLL (0x00), 937272
Special, SRL (0x02), 97170
Special, SRA (0x03), 7924
Special, SLLV (0x04), 734455
Special, SRLV (0x06), 729167
Special, SRAV (0x07), 14
Special, JR (0x08), 378369
Special, JALR (0x09), 76
Special, MFHI (0x10), 3908561
Special, MFLO (0x12), 3990871
Special, MULT (0x18), 104550
Special, MULTU (0x19), 3908672
Special, DIV (0x1a), 11
Special, DIVU (0x1b), 7382
Special, ADDU (0x21), 20311018
Special, SUBU (0x23), 2742307
Special, AND (0x24), 170917
Special, OR (0x25), 2958458
Special, XOR (0x26), 42712
Special, NOR (0x27), 37396
Special, SLT (0x2a), 22569
Special, SLTU (0x2b), 12099621
Regimm, BLTZ (0x00), 853
Regimm, BGEZ (0x01), 14967
Regimm, BEQZAL (0x11), 2
