Type, Code, Count
Op, SPECIAL (0x00), 24147700
Op, REGIMM (0x01), 41
Op, J (0x02), 1
Op, JAL (0x03), 50412
Op, BEQ (0x04), 3163687
Op, BNE (0x05), 6526862
Op, BLEZ (0x06), 36
Op, BGTZ (0x07), 22
Op, ADDIU (0x09), 7015500
Op, SLTI (0x0a), 102
Op, SLTIU (0x0b), 12710
Op, ANDI (0x0c), 552
Op, ORI (0x0d), 200238
Op, XORI (0x0e), 10
Op, LUI (0x0f), 250702
Op, LB (0x20), 360
Op, LH (0x21), 6400075
Op, LW (0x23), 603676
Op, LBU (0x24), 238
Op, LHU (0x25), 21
Op, SB (0x28), 109
Op, SH (0x29), 100025
Op, SW (0x2b), 366053
Special, SLL (0x00), 6867714
Special, SRL (0x02), 50313
Special, SRA (0x03), 50035
Special, SLLV (0x04), 45
Special, SRLV (0x06), 48
Special, JR (0x08), 50427
Special, JALR (0x09), 7
Special, MFHI (0x10), 50056
Special, MFLO (0x12), 3300069
Special, MULT (0x18), 3250011
Special, MULTU (0x19), 50048
Special, DIVU (0x1b), 8
Special, ADDU (0x21), 4051707
Special, SUBU (0x23), 272
Special, AND (0x24), 50310
Special, OR (0x25), 366
Special, XOR (0x26), 95
Special, NOR (0x27), 41
Special, SLT (0x2a), 6325893
Special, SLTU (0x2b), 50235
Regimm, BLTZ (0x00), 27
Regimm, BGEZ (0x01), 12
Regimm, BEQZAL (0x11), 2
