Type, Code, Count
Op, SPECIAL (0x00), 30706028
Op, REGIMM (0x01), 7050
Op, J (0x02), 34557
Op, JAL (0x03), 194241
Op, BEQ (0x04), 468106
Op, BNE (0x05), 2779336
Op, BLEZ (0x06), 14170
Op, BGTZ (0x07), 77183
Op, ADDIU (0x09), 8969860
Op, SLTI (0x0a), 30710
Op, SLTIU (0x0b), 8237
Op, ANDI (0x0c), 47172
Op, ORI (0x0d), 13847
Op, XORI (0x0e), 16941
Op, LUI (0x0f), 16149
Op, LB (0x20), 77123
Op, LH (0x21), 87
Op, LW (0x23), 7618090
Op, LBU (0x24), 42582
Op, LHU (0x25), 24
Op, SB (0x28), 118633
Op, SH (0x29), 25
Op, SW (0x2b), 4301517
Special, SLL (0x00), 543546
Special, SRL (0x02), 75498
Special, SRA (0x03), 3245
Special, SLLV (0x04), 372882
Special, SRLV (0x06), 369300
Special, JR (0x08), 194282
Special, JALR (0x09), 24
Special, MFHI (0x10), 2384776
Special, MFLO (0x12), 2447619
Special, MULT (0x18), 71451
Special, MULTU (0x19), 2384921
Special, DIVU (0x1b), 3502
Special, ADDU (0x21), 11614252
Special, SUBU (0x23), 1745937
Special, AND (0x24), 139551
Special, OR (0x25), 1442966
Special, XOR (0x26), 49205
Special, NOR (0x27), 10178
Special, SLT (0x2a), 12230
Special, SLTU (0x2b), 6840663
Regimm, BLTZ (0x00), 394
Regimm, BGEZ (0x01), 6654
Regimm, BEQZAL (0x11), 2
