Type, Code, Count
Op, SPECIAL (0x00), 77144135
Op, REGIMM (0x01), 43
Op, J (0x02), 1
Op, JAL (0x03), 416
Op, BEQ (0x04), 2198
Op, BNE (0x05), 14051836
Op, BLEZ (0x06), 39
Op, BGTZ (0x07), 22
Op, ADDIU (0x09), 21068890
Op, SLTI (0x0a), 111
Op, SLTIU (0x0b), 182
Op, ANDI (0x0c), 573
Op, ORI (0x0d), 250
Op, XORI (0x0e), 12
Op, LUI (0x0f), 730
Op, LB (0x20), 355
Op, LH (0x21), 75
Op, LW (0x23), 7010477
Op, LBU (0x24), 4238
Op, LHU (0x25), 21
Op, SB (0x28), 108
Op, SH (0x29), 25
Op, SW (0x2b), 7038349
Special, SLL (0x00), 21048974
Special, SRL (0x02), 352
Special, SRA (0x03), 35
Special, SLLV (0x04), 50
Special, SRLV (0x06), 54
Special, JR (0x08), 432
Special, JALR (0x09), 7
Special, MFHI (0x10), 7008060
Special, MFLO (0x12), 21024074
Special, MULT (0x18), 14013011
Special, MULTU (0x19), 52
Special, DIV (0x1a), 7008001
Special, DIVU (0x1b), 3008
Special, ADDU (0x21), 7017739
Special, SUBU (0x23), 4292
Special, AND (0x24), 336
Special, OR (0x25), 399
Special, XOR (0x26), 96
Special, NOR (0x27), 41
Special, SLT (0x2a), 14873
Special, SLTU (0x2b), 249
Regimm, BLTZ (0x00), 29
Regimm, BGEZ (0x01), 12
Regimm, BEQZAL (0x11), 2
