Type, Code, Count
Op, SPECIAL (0x00), 121127992
Op, REGIMM (0x01), 16259
Op, J (0x02), 22319
Op, JAL (0x03), 426915
Op, BEQ (0x04), 1004235
Op, BNE (0x05), 12688126
Op, BLEZ (0x06), 6789
Op, BGTZ (0x07), 70622
Op, ADDIU (0x09), 39594248
Op, SLTI (0x0a), 117929
Op, SLTIU (0x0b), 13895
Op, ANDI (0x0c), 130916
Op, ORI (0x0d), 8630
Op, XORI (0x0e), 1457
Op, LUI (0x0f), 30157
Op, LB (0x20), 2383
Op, LH (0x21), 114
Op, LW (0x23), 27523758
Op, LBU (0x24), 4420
Op, LHU (0x25), 33
Op, SB (0x28), 5194
Op, SH (0x29), 31
Op, SW (0x2b), 14662434
Special, SLL (0x00), 734529
Special, SRL (0x02), 314806
Special, SRA (0x03), 4228
Special, SLLV (0x04), 292332
Special, SRLV (0x06), 292482
Special, JR (0x08), 430060
Special, JALR (0x09), 3128
Special, MFHI (0x10), 12528098
Special, MFLO (0x12), 12704570
Special, MULT (0x18), 177856
Special, MULTU (0x19), 12528075
Special, DIVU (0x1b), 162
Special, ADDU (0x21), 52738746
Special, SUBU (0x23), 228602
Special, AND (0x24), 409192
Special, OR (0x25), 1113747
Special, XOR (0x26), 591356
Special, NOR (0x27), 316
Special, SLT (0x2a), 7110
Special, SLTU (0x2b), 26028597
Regimm, BLTZ (0x00), 9695
Regimm, BGEZ (0x01), 6562
Regimm, BEQZAL (0x11), 2
