Type, Code, Count
Op, SPECIAL (0x00), 62875827
Op, REGIMM (0x01), 184377
Op, J (0x02), 3513
Op, JAL (0x03), 264675
Op, BEQ (0x04), 3219102
Op, BNE (0x05), 13169301
Op, BLEZ (0x06), 402927
Op, BGTZ (0x07), 75857
Op, ADDIU (0x09), 26665912
Op, SLTI (0x0a), 60361
Op, SLTIU (0x0b), 457717
Op, ANDI (0x0c), 1962085
Op, ORI (0x0d), 169130
Op, XORI (0x0e), 13
Op, LUI (0x0f), 566600
Op, LB (0x20), 607356
Op, LH (0x21), 163820
Op, LW (0x23), 8554954
Op, LBU (0x24), 21701712
Op, LHU (0x25), 199031
Op, SB (0x28), 474113
Op, SH (0x29), 646
Op, SW (0x2b), 5856653
Special, SLL (0x00), 13215127
Special, SRL (0x02), 41927
Special, SRA (0x03), 122236
Special, SLLV (0x04), 2343
Special, SRLV (0x06), 2338
Special, JR (0x08), 613828
Special, JALR (0x09), 73294
Special, MFHI (0x10), 159670
Special, MFLO (0x12), 10571212
Special, MULT (0x18), 10482389
Special, MULTU (0x19), 4530
Special, DIVU (0x1b), 155140
Special, ADDU (0x21), 15934222
Special, SUBU (0x23), 10477565
Special, AND (0x24), 141499
Special, OR (0x25), 56252
Special, XOR (0x26), 2337
Special, NOR (0x27), 60
Special, SLT (0x2a), 116503
Special, SLTU (0x2b), 703355
Regimm, BLTZ (0x00), 111238
Regimm, BGEZ (0x01), 73137
Regimm, BEQZAL (0x11), 2
