Type, Code, Count
Op, SPECIAL (0x00), 90226988
Op, REGIMM (0x01), 2490
Op, J (0x02), 4477
Op, JAL (0x03), 38557
Op, BEQ (0x04), 385172
Op, BNE (0x05), 9696653
Op, BLEZ (0x06), 130545
Op, BGTZ (0x07), 37023
Op, ADDIU (0x09), 18736073
Op, SLTI (0x0a), 36761
Op, SLTIU (0x0b), 57498
Op, ANDI (0x0c), 136030
Op, ORI (0x0d), 69744
Op, XORI (0x0e), 5127
Op, LUI (0x0f), 167302
Op, LB (0x20), 79570
Op, LH (0x21), 769
Op, LW (0x23), 1808899
Op, LBU (0x24), 25091714
Op, LHU (0x25), 150933
Op, SB (0x28), 272332
Op, SH (0x29), 81
Op, SW (0x2b), 1137784
Special, SLL (0x00), 18749098
Special, SRL (0x02), 191366
Special, SRA (0x03), 7036
Special, SLLV (0x04), 21041
Special, SRLV (0x06), 21333
Special, SRAV (0x07), 6940
Special, JR (0x08), 48521
Special, JALR (0x09), 129
Special, MFHI (0x10), 37826
Special, MFLO (0x12), 16745959
Special, MULT (0x18), 16670531
Special, MULTU (0x19), 33377
Special, DIV (0x1a), 36865
Special, DIVU (0x1b), 5208
Special, ADDU (0x21), 28336637
Special, SUBU (0x23), 8507423
Special, AND (0x24), 114170
Special, OR (0x25), 232331
Special, XOR (0x26), 11219
Special, NOR (0x27), 787
Special, SLT (0x2a), 81195
Special, SLTU (0x2b), 367996
Regimm, BLTZ (0x00), 1669
Regimm, BGEZ (0x01), 819
Regimm, BEQZAL (0x11), 2
